trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.5, 'e': 0.9976888907533621}",20,0,-126.6180735477939,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9976204443135014}",20,0,-80.89629203779893,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9975510002532796}",30,0,-118.57389413152704,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9974805586421406}",20,0,-58.34230668027656,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9974091195505261}",20,12,-27.566296935779796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.9973366830498752}",20,0,-76.94987378983974,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.9972632492126244}",20,0,-121.16429308041751,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,0,-144.66366896953753,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9971133898230555}",20,0,-109.27298782159502,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9970369644205967}",30,0,-9.579893674474254,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9969595419812568}",20,0,-53.564034925169025,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9968811225824579}",20,12,-16.33171121158271,"{0: 4, 1: 3, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.9968017063026194}",25,0,-79.66448769115662,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.9967212932211577}",20,0,-192.81343027990403,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
82,False,"{'a': 0.5, 'e': 0.9966398834184859}",25,5,-125.658951203781,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",1
83,False,"{'a': 0.5, 'e': 0.9965574769760137}",30,0,-138.25753412722264,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.9964740739761475}",20,0,-121.7144069967819,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.9963896745022904}",20,0,-51.18391622215037,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.996304278638842}",25,0,-205.75825285549368,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
87,False,"{'a': 0.5, 'e': 0.9962178864711978}",30,18,-52.77510657020872,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.9961304980857502}",20,0,3.0605641252468723,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.9960421135698875}",25,0,-220.37192580484913,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
90,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-140.4893814192338,"{0: 7, 1: 3, 2: 7, 3: 3, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.9958623565014509}",30,0,-189.24026270207332,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
92,False,"{'a': 0.5, 'e': 0.9957709841286342}",25,0,-186.4553206569406,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
93,False,"{'a': 0.5, 'e': 0.9956786159849162}",25,0,-99.40300664307419,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.9955852521626654}",30,0,-161.95151873293554,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9954908927552453}",20,0,-179.35573770152112,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.9953955378570153}",30,0,-277.432343094309,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 5}",0
97,False,"{'a': 0.5, 'e': 0.9952991875633305}",20,0,-69.3676486419606,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.995201841970541}",35,0,-154.276548819515,"{0: 25, 1: 1, 2: 5, 3: 2, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.9951035011759926}",25,0,-62.95192423901806,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.9950041652780257}",25,0,-92.47474101461374,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.9949038343759766}",25,0,-94.71838157275123,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.994802508570176}",25,13,-124.19806692174639,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 2}",1
103,False,"{'a': 0.5, 'e': 0.9947001879619498}",30,0,-129.4843153986729,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
104,False,"{'a': 0.5, 'e': 0.9945968726536185}",20,0,-156.32080223471974,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
105,False,"{'a': 0.5, 'e': 0.9944925627484974}",20,0,-153.62850569875383,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.9943872583508965}",35,0,-99.84373310186278,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.9942809595661201}",20,0,-54.49739441105119,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.9941736665004669}",25,0,-219.50847495039594,"{0: 9, 1: 2, 2: 8, 3: 5, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.9940653792612301}",35,0,-118.88054626032718,"{0: 24, 1: 2, 2: 6, 3: 2, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.9939560979566968}",20,0,-62.46525729242582,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.9938458226961485}",20,0,-112.63281849475277,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9937345535898603}",25,12,-26.422166380680185,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.9936222907491012}",20,0,-105.54743179958248,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.9935090342861344}",25,2,-89.80186406096817,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.9933947843142158}",25,0,-163.66445572193336,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
116,False,"{'a': 0.5, 'e': 0.9932795409475959}",30,0,-185.7637811788898,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
