trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
879,False,"{'a': 0.5, 'e': 0.1294262147620952}",20,6,23.373305338253044,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
880,False,"{'a': 0.5, 'e': 0.12913223140495866}",20,14,11.028049302736033,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
881,False,"{'a': 0.5, 'e': 0.1288392485579667}",20,8,12.969229278645862,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
882,False,"{'a': 0.5, 'e': 0.12854726168623154}",30,20,18.701715629744275,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
883,False,"{'a': 0.5, 'e': 0.1282562662805298}",20,3,19.658828563629196,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
884,False,"{'a': 0.5, 'e': 0.1279662578571282}",25,14,19.790320929889948,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
885,False,"{'a': 0.5, 'e': 0.12767723195761113}",25,11,25.10694892205215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
886,False,"{'a': 0.5, 'e': 0.12738918414870903}",20,13,12.33876981028529,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
887,False,"{'a': 0.5, 'e': 0.12710211002212846}",20,13,12.134435176040515,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
888,False,"{'a': 0.5, 'e': 0.12681600519438355}",20,0,25.147744594981127,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
889,False,"{'a': 0.5, 'e': 0.12653086530662858}",25,0,39.83065546690171,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
890,False,"{'a': 0.5, 'e': 0.12624668602449185}",35,14,32.229862339094886,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
891,False,"{'a': 0.5, 'e': 0.1259634630379112}",25,1,19.990187113217353,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
892,False,"{'a': 0.5, 'e': 0.12568119206097045}",25,10,-5.242803045930871,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
893,False,"{'a': 0.5, 'e': 0.1253998688317372}",30,19,20.741298687168833,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
894,False,"{'a': 0.5, 'e': 0.12511948911210205}",25,19,12.729176183245597,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
895,False,"{'a': 0.5, 'e': 0.12484004868761897}",20,13,12.86673754688929,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
896,False,"{'a': 0.5, 'e': 0.12456154336734691}",25,18,14.207762716350189,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
897,False,"{'a': 0.5, 'e': 0.12428396898369268}",20,8,15.960271400881211,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
898,False,"{'a': 0.5, 'e': 0.124007321392255}",20,11,12.309280444122983,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
899,False,"{'a': 0.5, 'e': 0.12373159647166979}",20,14,-28.70156711245894,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
900,False,"{'a': 0.5, 'e': 0.12345679012345677}",30,23,14.343978928594542,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
901,False,"{'a': 0.5, 'e': 0.12318289827186713}",35,18,32.79774381036863,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
902,False,"{'a': 0.5, 'e': 0.12290991686373222}",25,7,11.383846544989968,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
903,False,"{'a': 0.5, 'e': 0.12263784186831393}",30,22,3.112819881793362,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
904,False,"{'a': 0.5, 'e': 0.12236666927715562}",25,8,17.433059068705834,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
905,False,"{'a': 0.5, 'e': 0.12209639510393455}",25,11,14.30147961091351,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
906,False,"{'a': 0.5, 'e': 0.12182701538431549}",30,7,3.949304265811512,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
907,False,"{'a': 0.5, 'e': 0.12155852617580523}",25,12,23.88831426049061,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
908,False,"{'a': 0.5, 'e': 0.12129092355760833}",25,14,20.42730758342184,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
909,False,"{'a': 0.5, 'e': 0.12102420363048406}",20,11,16.404773106588287,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
910,False,"{'a': 0.5, 'e': 0.12075836251660427}",20,2,30.500012235713513,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
911,False,"{'a': 0.5, 'e': 0.12049339635941252}",20,13,7.595263260428164,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
912,False,"{'a': 0.5, 'e': 0.12022930132348413}",20,5,21.945896204194774,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
913,False,"{'a': 0.5, 'e': 0.11996607359438749}",30,14,34.764215266968606,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
914,False,"{'a': 0.5, 'e': 0.11970370937854621}",25,0,1.1516184487338978,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
915,False,"{'a': 0.5, 'e': 0.11944220490310249}",30,1,-2.314013412245912,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 0}",1
